管理番号,品名,メーカ,分類,ステータス,仕入れ先,コンディション,保管場所,仕入れ日,数量（ストック量または取引数量）,コメント,仕入れ価格,仕入れ価格/税区分,販売価格,販売価格/税区分,担当,用途,ログ日時
ZC000269,6545,G-CORPORATION,タイヤ付き　夏　純AW,移動,,新品-常時在庫管理あり,府内13-3店舗裏,2020-10-24,1,,0,無,0,無,demo,出荷処理,"2020-10-25 09:30:00"
ZC000269,6545,G-CORPORATION,タイヤ付き　夏　純AW,移動,,新品-常時在庫管理あり,府内13-3店舗裏,2020-10-24,1,,0,無,0,無,demo,入荷処理,"2020-10-25 09:30:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,移動,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,3,"あああ あせ",0.03,内,0.03,外,demo,在庫管理データ削除処理,"2020-10-25 04:48:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,移動,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,"あああ あせ",0.03,内,0.03,外,demo,出荷処理,"2020-10-25 04:34:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,あああ,0.03,内,0.03,外,demo,出荷処理,"2020-10-25 04:28:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,5,あああ,0.03,内,0.03,外,demo,在庫管理修正処理,"2020-10-25 04:28:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:22:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:19:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:19:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:18:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:17:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:12:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:12:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:11:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:11:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:09:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 04:09:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,出荷処理,"2020-10-25 04:04:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,出荷処理,"2020-10-25 04:04:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,出荷処理,"2020-10-25 04:02:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 03:54:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 03:54:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 03:52:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 03:50:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,1,,0.03,内,0.03,外,demo,入荷処理,"2020-10-25 03:41:00"
ZC000270,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,4,,0.03,内,0.03,外,demo,ログから登録処理,"2020-10-25 02:52:00"
ZC000269,6545,G-CORPORATION,タイヤ付き　夏　純AW,移動,,新品-常時在庫管理あり,府内13-3店舗裏,2020-10-24,2,,0,無,0,無,demo,新規登録,"2020-10-25 02:44:00"
ZC000268,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,4,,0.03,内,0.03,外,demo,在庫管理修正処理,"2020-10-25 02:43:00"
ZC000268,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,4,,0.03,内,0.03,外,demo,在庫管理修正処理,"2020-10-25 02:43:00"
ZC000268,654,G-CORPORATION,タイヤ付き　夏　純AW,廃棄処分,abc,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-10-06,4,,0.03,内,0.03,外,demo,新規登録,"2020-10-25 02:42:00"
ZC000267,ああa,G-CORPORATION,タイヤ付き　冬　外AW,内容変更,あああ,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-09-29,3,あああ,0.02,外,0.03,内,demo,在庫管理修正処理,"2020-10-25 02:37:00"
ZC000267,ああa,G-CORPORATION,タイヤ付き　冬　外AW,内容変更,あああ,新品-常時在庫管理あり,府内13-3店舗小部屋,2020-09-29,3,あああ,0.02,外,0.03,内,demo,新規登録,"2020-10-25 02:37:00"
ZC000266,中古　テスト/test,G-CORPORATION,ドア,再撮影,abc,新品-常時在庫管理あり,府内13-3店舗裏,2020-11-03,3,ああああ,0.02,内,0.02,外,demo,在庫管理修正処理,"2020-10-25 02:35:00"
ZC000266,中古　テスト/test,G-CORPORATION,ドア,再撮影,abc,新品-常時在庫管理あり,府内13-3店舗裏,2020-11-03,3,ああああ,0.02,内,0.02,外,demo,在庫管理修正処理,"2020-10-25 02:35:00"
ZC000266,中古　テスト/test,G-CORPORATION,ドア,再撮影,abc,新品-常時在庫管理あり,府内13-3店舗裏,2020-11-03,3,ああああ,0.02,内,0.02,外,demo,在庫管理修正処理,"2020-10-25 02:35:00"
